Designator,Footprint,Quantity,Value,LCSC Part #
BT1,battery_holder,1,Battery_Cell,
"C1, C29, C3, C30, C41, C43, C48, C49, C50, C51, C52, C53, C54, C55, C65",0805,15,10u,C15850
"C10, C11, C12, C13, C14, C15, C39, C9",1206,8,10p,
"C16, C20, C36, C44, C61, C62, C63, C64",CP_Radial_D5.0mm_P2.00mm,8,47u,
C17,0603,1,1n,C1588
"C18, C19",0603,2,10u,C96446
"C2, C27, C28, C31, C32, C35, C42, C45, C47, C59, C60, C66, C67, C7, C8",0603,15,100n,C14663
"C21, C22, C4, C5",0603,4,330p,C1664
"C23, C24, C25, C26, C33, C34, C37, C38, C56, C6",0603,10,100p,C14858
"C40, C46",0603,2,1u,C15849
"C57, C58",0603,2,10p,C1634
"D1, D3, D4, D5",D_SOD-323_HandSoldering,4,1SV324,
"D10, D11, D12, D13, D8, D9",D_SOD-323,6,1N4148WS,C2128
"D2, D7",SOT-23,2,BAV99,C2500
D6,LED_D3.0mm_FlatTop,1,LED,
"FB1, FB2",0603,2,FerriteBead,
"H1, H4",M3_with_screw,2,MountingHole,
"J1, J11, J3, J4",SolderWire-0.25sqmm_1x01_D0.65mm_OD1.7mm,4,wire2board,
J10,BNC_panel_mount,1,BNC_panel_mount,
J2,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,Conn_01x04_Socket,
J5,USB_C_floating,1,USB_C_floating,
J8,black_safety_4mm_connector,1,red_safety_4mm_connector,
J9,black_safety_4mm_connector,1,black_safety_4mm_connector,
"Q1, Q4",SOT-23,2,MMBT5401,C8326
"Q10, Q8",SOT-23,2,AO3401A,C15127
"Q13, Q14, Q3, Q5",SOT-23,4,AO3400A,C20917
"Q2, Q6",SOT-23,2,MMBT5551L,C2145
"R1, R10, R11, R2, R3, R4, R8, R9",1206,8,1 Meg,
"R12, R16, R5, R6",0603,4,10k,
"R13, R18",0603,2,82k,
"R14, R15, R28, R34, R37, R38",0603,6,100k,C25803
"R17, R31, R35, R51, R52, R54",0603,6,100,C22775
R19,0603,1,39k,C23153
"R20, R22, R24, R53",0603,4,200,
"R21, R39, R41, R43, R44, R47",0603,6,470k,C23178
"R23, R7",0603,2,10M,C7250
"R25, R36, R40, R56",0603,4,10k,C25804
"R26, R33, R42, R50, R55",0603,5,1k,C21190
"R27, R32",0603,2,22k,C31850
R29,0603,1,2.7k,C13167
R30,0603,1,330,C23138
"R45, R46, R48, R49",0603,4,1Meg,C22935
"RV1, RV5, RV6",Potentiometer_Bourns_3296W_Vertical,3,100k,
RV2,Potentiometer_Bourns_3296W_Vertical,1,100,
"SW1, SW2",DPDT_bigger,2,SW_DPDT_x2,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D2.0mm,9,TestPoint,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,RS8752XK,RS8752XK
U2,SOT-23-6,1,AP9101CK6,
U3,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC14D653,C5605
U4,SOT-23,1,TL431DBZ,C3113
U6,SOT-23-6,1,BQ21040DBV,
